Tag Counts:
Tag,Count
Untagged,4763
database,28
monitoring,25
sv_P5,23
email,21
sv_P2,21
sv_P1,20
SV_P3,19
sv_P4,18
web,18

Port/Protocol Combination Counts:
Port,Protocol,Count
55802,udp,1
9724,udp,1
29658,udp,1
27442,udp,1
41685,tcp,1
29493,icmp,1
42187,icmp,1
26340,udp,1
38437,tcp,1
61343,tcp,1
58565,icmp,1
19819,udp,1
29345,udp,1
30591,icmp,1
60432,icmp,1
58816,tcp,1
21810,tcp,1
23414,tcp,1
38264,icmp,1
34025,icmp,1
58116,icmp,1
16150,tcp,1
15162,udp,1
46326,udp,1
58837,icmp,2
31135,tcp,1
56155,icmp,1
53471,udp,1
22689,tcp,1
41818,icmp,1
61103,udp,1
55927,udp,1
4810,udp,1
31422,tcp,1
49067,udp,1
34397,icmp,1
35766,icmp,1
32572,tcp,1
9774,udp,1
61985,udp,1
1791,icmp,1
8804,tcp,1
25512,tcp,1
39087,udp,2
41283,tcp,1
1943,icmp,1
47773,tcp,1
35969,udp,1
19811,icmp,1
13962,udp,1
15434,tcp,1
33017,tcp,1
43027,tcp,1
64052,icmp,1
33753,tcp,1
6174,udp,1
21706,icmp,1
50201,udp,1
35109,icmp,1
30791,udp,1
2984,udp,1
36612,icmp,1
34900,icmp,1
21053,udp,1
40911,udp,1
47369,udp,1
42338,udp,1
20594,udp,1
26072,udp,1
53815,udp,1
21427,udp,1
6283,udp,1
62235,tcp,1
11895,icmp,1
65386,icmp,1
27303,icmp,1
60948,tcp,1
28841,icmp,1
25598,icmp,1
2466,icmp,1
16434,icmp,1
14417,icmp,1
30287,tcp,1
24720,tcp,1
6573,tcp,1
40404,icmp,1
15563,icmp,1
30470,udp,1
59243,udp,1
6397,tcp,1
5671,icmp,1
49098,udp,1
37055,udp,1
46899,icmp,1
61472,icmp,1
48057,tcp,1
1390,icmp,1
59216,tcp,1
45119,icmp,1
17864,udp,1
27006,icmp,1
34747,icmp,1
37211,udp,1
47426,tcp,1
6440,icmp,1
13132,icmp,1
5803,udp,1
52606,icmp,1
49140,tcp,1
64451,tcp,1
20618,tcp,1
38624,udp,1
21155,tcp,1
25786,icmp,1
28423,udp,1
12194,udp,1
